Date,Ticker,Close,Shares,MarketCap
2022-09-13 00:00:00-04:00,META,,,
2022-09-13 00:00:00-04:00,AMD,,,
2022-09-13 00:00:00-04:00,BABA,89.47000122070312,2559020032.0,228955525386.84375
2022-09-13 00:00:00-04:00,AMZN,,,
2022-09-13 00:00:00-04:00,AAPL,,,
2022-09-13 00:00:00-04:00,BIDU,131.30999755859375,346734016.0,45529642794.44141
2022-09-15 00:00:00-04:00,GOOGL,102.91000366210938,13017600000.0,1339641263671.875
2022-09-15 00:00:00-04:00,TCEHY,35.624996185302734,9573319680.0,341049477080.6836
2022-09-15 00:00:00-04:00,TSLA,303.75,3024950016.0,918828567360.0
2022-09-15 00:00:00-04:00,MSFT,242.53985595703125,7451089920.0,1807186275919.6875
2022-09-15 00:00:00-04:00,META,,,
2022-09-15 00:00:00-04:00,AMD,,,
2022-09-15 00:00:00-04:00,BABA,88.83000183105469,2767689984.0,245853906346.51172
2022-09-15 00:00:00-04:00,AMZN,,,
2022-09-15 00:00:00-04:00,AAPL,151.27210998535156,15918600192.0,2408040239057.0625
2022-09-15 00:00:00-04:00,BIDU,127.30999755859375,365049984.0,46474512571.80469
2022-09-16 00:00:00-04:00,GOOGL,102.80000305175781,13361000448.0,1373510886828.9375
2022-09-16 00:00:00-04:00,TCEHY,34.88968276977539,9706590208.0,338659853133.3281
2022-09-16 00:00:00-04:00,TSLA,303.3500061035156,3121710080.0,946970771821.4062
2022-09-16 00:00:00-04:00,MSFT,241.90725708007812,7665780224.0,1854407867366.5469
2022-09-16 00:00:00-04:00,META,,,
2022-09-16 00:00:00-04:00,AMD,,,
2022-09-16 00:00:00-04:00,BABA,86.43000030517578,2645609984.0,228660071724.4961
2022-09-16 00:00:00-04:00,AMZN,,,
2022-09-16 00:00:00-04:00,AAPL,149.61415100097656,16380800000.0,2450799484716.797
2022-09-16 00:00:00-04:00,BIDU,123.69000244140625,351145984.0,43433247618.25
2022-09-20 00:00:00-04:00,GOOGL,101.13999938964844,13090599936.0,1323983269537.1719
2022-09-20 00:00:00-04:00,TCEHY,35.097076416015625,9537149952.0,334726080656.34375
2022-09-20 00:00:00-04:00,TSLA,,,
2022-09-20 00:00:00-04:00,MSFT,,,
2022-09-20 00:00:00-04:00,META,,,
2022-09-20 00:00:00-04:00,AMD,,,
2022-09-20 00:00:00-04:00,BABA,85.80000305175781,2576430080.0,221057708726.64062
2022-09-20 00:00:00-04:00,AMZN,,,
2022-09-20 00:00:00-04:00,AAPL,,,
2022-09-20 00:00:00-04:00,BIDU,126.16000366210938,337814016.0,42618617495.671875
2022-09-21 00:00:00-04:00,GOOGL,99.27999877929688,13086000128.0,1299178076733.7188
2022-09-21 00:00:00-04:00,TCEHY,33.86212921142578,9631909888.0,326156977180.2656
2022-09-21 00:00:00-04:00,TSLA,,,
2022-09-21 00:00:00-04:00,MSFT,,,
2022-09-21 00:00:00-04:00,META,,,
2022-09-21 00:00:00-04:00,AMD,,,
2022-09-21 00:00:00-04:00,BABA,81.5999984741211,2710960128.0,221214342308.20312
2022-09-21 00:00:00-04:00,AMZN,,,
2022-09-21 00:00:00-04:00,AAPL,,,
2022-09-21 00:00:00-04:00,BIDU,119.56999969482422,347552000.0,41556792533.93555
2022-09-22 00:00:00-04:00,GOOGL,100.13999938964844,13089300480.0,1310762542078.125
2022-09-22 00:00:00-04:00,TCEHY,33.65473175048828,9729829888.0,327454814858.52344
2022-09-22 00:00:00-04:00,TSLA,,,
2022-09-22 00:00:00-04:00,MSFT,,,
2022-09-22 00:00:00-04:00,META,,,
2022-09-22 00:00:00-04:00,AMD,,,
2022-09-22 00:00:00-04:00,BABA,80.70999908447266,2746230016.0,221648222077.11133
2022-09-22 00:00:00-04:00,AMZN,,,
2022-09-22 00:00:00-04:00,AAPL,,,
2022-09-22 00:00:00-04:00,BIDU,118.81999969482422,356385984.0,42345782510.11963
2022-09-23 00:00:00-04:00,GOOGL,98.73999786376953,13070499840.0,1290581126280.0
2022-09-23 00:00:00-04:00,TCEHY,32.872283935546875,9685440512.0,318382550551.3125
2022-09-23 00:00:00-04:00,TSLA,,,
2022-09-23 00:00:00-04:00,MSFT,,,
2022-09-23 00:00:00-04:00,META,,,
2022-09-23 00:00:00-04:00,AMD,,,
2022-09-23 00:00:00-04:00,BABA,78.80000305175781,2702850048.0,212984592030.84375
2022-09-23 00:00:00-04:00,AMZN,,,
2022-09-23 00:00:00-04:00,AAPL,,,
2022-09-23 00:00:00-04:00,BIDU,118.75,351211008.0,41706307200.0
2022-10-05 00:00:00-04:00,GOOGL,101.43000030517578,13090700288.0,1327789734206.8047
2022-10-05 00:00:00-04:00,TCEHY,33.192806243896484,9117670400.0,302641066982.91016
2022-10-05 00:00:00-04:00,TSLA,,,
2022-10-05 00:00:00-04:00,MSFT,,,
2022-10-05 00:00:00-04:00,META,,,
2022-10-05 00:00:00-04:00,AMD,,,
2022-10-05 00:00:00-04:00,BABA,,,
